BioSample,LibraryName,Run,fq1,fq2,SampleType
GAL-001,GAL-001,1,/home2/jdo53/snpArcher_Projects/full_210_samples/data/GAL-001_S205_L007_R1_001.fastq.gz,/home2/jdo53/snpArcher_Projects/full_210_samples/data/GAL-001_S205_L007_R2_001.fastq.gz,include
GAL-001,GAL-001,2,/home2/jdo53/snpArcher_Projects/full_210_samples/data/GAL-001_S85_L002_R1_001.fastq.gz,/home2/jdo53/snpArcher_Projects/full_210_samples/data/GAL-001_S85_L002_R2_001.fastq.gz,include
GAL-001,GAL-001,3,/home2/jdo53/snpArcher_Projects/full_210_samples/data/GAL-001_S85_L003_R1_001.fastq.gz,/home2/jdo53/snpArcher_Projects/full_210_samples/data/GAL-001_S85_L003_R2_001.fastq.gz,include
GAL-001,GAL-001,4,/home2/jdo53/snpArcher_Projects/full_210_samples/data/GAL-001_S85_L004_R1_001.fastq.gz,/home2/jdo53/snpArcher_Projects/full_210_samples/data/GAL-001_S85_L004_R2_001.fastq.gz,include
GAL-001,GAL-001,5,/home2/jdo53/snpArcher_Projects/full_210_samples/data/GAL-001_S85_L005_R1_001.fastq.gz,/home2/jdo53/snpArcher_Projects/full_210_samples/data/GAL-001_S85_L005_R2_001.fastq.gz,include
GAL-001,GAL-001,6,/home2/jdo53/snpArcher_Projects/full_210_samples/data/GAL-001_S85_L006_R1_001.fastq.gz,/home2/jdo53/snpArcher_Projects/full_210_samples/data/GAL-001_S85_L006_R2_001.fastq.gz,include
GAL-001,GAL-001,7,/home2/jdo53/snpArcher_Projects/full_210_samples/data/GAL-001_S85_L007_R1_001.fastq.gz,/home2/jdo53/snpArcher_Projects/full_210_samples/data/GAL-001_S85_L007_R2_001.fastq.gz,include
GAL-001,GAL-001,8,/home2/jdo53/snpArcher_Projects/full_210_samples/data/GAL-001_S85_L008_R1_001.fastq.gz,/home2/jdo53/snpArcher_Projects/full_210_samples/data/GAL-001_S85_L008_R2_001.fastq.gz,include
GAL-002,GAL-002,9,/home2/jdo53/snpArcher_Projects/full_210_samples/data/GAL-002_S206_L007_R1_001.fastq.gz,/home2/jdo53/snpArcher_Projects/full_210_samples/data/GAL-002_S206_L007_R2_001.fastq.gz,include
GAL-002,GAL-002,10,/home2/jdo53/snpArcher_Projects/full_210_samples/data/GAL-002_S86_L002_R1_001.fastq.gz,/home2/jdo53/snpArcher_Projects/full_210_samples/data/GAL-002_S86_L002_R2_001.fastq.gz,include
GAL-002,GAL-002,11,/home2/jdo53/snpArcher_Projects/full_210_samples/data/GAL-002_S86_L003_R1_001.fastq.gz,/home2/jdo53/snpArcher_Projects/full_210_samples/data/GAL-002_S86_L003_R2_001.fastq.gz,include
GAL-002,GAL-002,12,/home2/jdo53/snpArcher_Projects/full_210_samples/data/GAL-002_S86_L004_R1_001.fastq.gz,/home2/jdo53/snpArcher_Projects/full_210_samples/data/GAL-002_S86_L004_R2_001.fastq.gz,include
GAL-002,GAL-002,13,/home2/jdo53/snpArcher_Projects/full_210_samples/data/GAL-002_S86_L005_R1_001.fastq.gz,/home2/jdo53/snpArcher_Projects/full_210_samples/data/GAL-002_S86_L005_R2_001.fastq.gz,include
GAL-002,GAL-002,14,/home2/jdo53/snpArcher_Projects/full_210_samples/data/GAL-002_S86_L006_R1_001.fastq.gz,/home2/jdo53/snpArcher_Projects/full_210_samples/data/GAL-002_S86_L006_R2_001.fastq.gz,include
GAL-002,GAL-002,15,/home2/jdo53/snpArcher_Projects/full_210_samples/data/GAL-002_S86_L007_R1_001.fastq.gz,/home2/jdo53/snpArcher_Projects/full_210_samples/data/GAL-002_S86_L007_R2_001.fastq.gz,include
GAL-002,GAL-002,16,/home2/jdo53/snpArcher_Projects/full_210_samples/data/GAL-002_S86_L008_R1_001.fastq.gz,/home2/jdo53/snpArcher_Projects/full_210_samples/data/GAL-002_S86_L008_R2_001.fastq.gz,include
GAL-003,GAL-003,17,/home2/jdo53/snpArcher_Projects/full_210_samples/data/GAL-003_S207_L007_R1_001.fastq.gz,/home2/jdo53/snpArcher_Projects/full_210_samples/data/GAL-003_S207_L007_R2_001.fastq.gz,include
GAL-003,GAL-003,18,/home2/jdo53/snpArcher_Projects/full_210_samples/data/GAL-003_S87_L002_R1_001.fastq.gz,/home2/jdo53/snpArcher_Projects/full_210_samples/data/GAL-003_S87_L002_R2_001.fastq.gz,include
