,Darwin,Espanola,Floreana,Genovesa,Isabela Sur,Isabela Oeste,Isabela Este,Marchena,Pinta,San Cristobal,Santa Cruz,Santiago,Wolf
GAL-089,   0,0,0,0,1,0,0,0,0,0,0,0,0
GAL-179,   0,0,0,0,1,0,0,0,0,0,0,0,0
GAL-080,   0,0,0,0,1,0,0,0,0,0,0,0,0
GAL-190,   0,0,0,0,1,0,0,0,0,0,0,0,0
GAL-194,   0,0,0,0,1,0,0,0,0,0,0,0,0
GAL-099,   0,0,0,0,1,0,0,0,0,0,0,0,0
GAL-090,   0,0,0,0,1,0,0,0,0,0,0,0,0
GAL-185,   0,0,0,0,1,0,0,0,0,0,0,0,0
GAL-196,   0,0,0,0,1,0,0,0,0,0,0,0,0
GAL-035,   0,0,0,0,1,0,0,0,0,0,0,0,0
GAL-173,   0,0,0,0,0,0,0,0,0,0,1,0,0
GAL-019,   0,0,0,0,0,0,0,0,0,0,1,0,0
GAL-007,   0,0,0,0,0,0,0,0,0,0,1,0,0
GAL-124,   0,0,0,0,0,0,0,0,0,0,1,0,0
GAL-114,   0,0,0,0,0,0,0,0,0,0,1,0,0
GAL-075,   0,0,0,0,0,0,0,0,0,0,1,0,0
GAL-059,   0,0,0,0,0,0,0,0,0,0,1,0,0
GAL-203,   0,0,0,0,0,0,0,0,0,0,1,0,0
GAL-011,   0,0,0,0,0,0,0,0,0,0,1,0,0
GAL-077,   0,0,0,0,0,0,0,0,0,0,1,0,0
GAL-111,   0,0,0,0,0,0,0,0,0,0,1,0,0
GAL-032,   0,0,0,0,0,0,0,0,0,0,1,0,0
GAL-048,   0,0,0,0,0,0,0,0,0,0,1,0,0
GAL-109,   0,0,0,0,0,0,0,0,0,0,1,0,0
GAL-195,   0,0,0,0,0,0,0,0,0,0,1,0,0
GAL-074,   0,0,0,0,0,0,0,0,0,0,1,0,0
GAL-021,   0,0,0,0,0,0,0,0,0,0,1,0,0
GAL-026,   0,0,0,0,0,0,0,0,0,0,1,0,0
GAL-068,   0,0,0,0,0,0,0,0,0,0,1,0,0
GAL-088,   0,0,0,0,0,0,0,0,0,0,1,0,0
GAL-057,   0,0,0,0,0,0,0,0,0,0,0,1,0
GAL-105,   0,0,0,0,0,0,0,0,0,0,0,1,0
GAL-182,   0,0,0,0,0,0,0,0,0,0,0,1,0
GAL-092,   0,0,0,0,0,0,0,0,0,0,0,1,0
GAL-062,   0,0,0,0,0,0,0,0,0,0,0,1,0
GAL-144,   0,0,0,0,0,0,0,0,0,0,0,1,0
GAL-137,   0,0,0,0,0,0,0,0,0,0,0,1,0
GAL-169,   0,0,0,0,0,0,0,0,0,0,0,1,0
GAL-158,   0,0,0,1,0,0,0,0,0,0,0,0,0
GAL-207,   0,0,0,1,0,0,0,0,0,0,0,0,0
GAL-112,   0,0,0,1,0,0,0,0,0,0,0,0,0
GAL-126,   0,0,0,1,0,0,0,0,0,0,0,0,0
GAL-003,   0,0,0,1,0,0,0,0,0,0,0,0,0
GAL-143,   0,0,0,1,0,0,0,0,0,0,0,0,0
GAL-128,   0,0,0,0,0,0,0,1,0,0,0,0,0
GAL-176,   0,0,0,0,0,0,0,1,0,0,0,0,0
GAL-188,   0,0,0,0,0,0,0,1,0,0,0,0,0
GAL-073,   0,0,0,0,0,0,0,1,0,0,0,0,0
GAL-167,   0,0,0,0,0,0,0,1,0,0,0,0,0
GAL-055,   0,0,0,0,0,0,0,1,0,0,0,0,0
GAL-004,   0,0,0,0,0,0,0,1,0,0,0,0,0
GAL-096,   0,0,0,0,0,0,0,1,0,0,0,0,0
GAL-030,   0,0,0,0,0,0,0,1,0,0,0,0,0
GAL-170,   0,0,0,0,0,0,0,1,0,0,0,0,0
GAL-159,   0,0,0,0,0,0,0,1,0,0,0,0,0
GAL-206,   0,0,0,0,0,0,0,1,0,0,0,0,0
GAL-013,   0,0,0,0,0,0,0,0,1,0,0,0,0
GAL-097,   0,0,0,0,0,0,0,0,1,0,0,0,0
GAL-083,   0,0,0,0,0,0,0,0,1,0,0,0,0
GAL-151,   0,0,0,0,0,0,0,0,1,0,0,0,0
GAL-107,   0,0,0,0,0,0,0,0,1,0,0,0,0
GAL-183,   0,0,0,0,0,0,0,0,1,0,0,0,0
GAL-129,   0,0,0,0,0,0,0,0,1,0,0,0,0
GAL-166,   0,0,0,0,0,0,0,0,1,0,0,0,0
GAL-156,   0,0,0,0,0,0,0,0,1,0,0,0,0
GAL-150,   0,0,0,0,0,0,0,0,1,0,0,0,0
GAL-125,   0,0,0,0,0,0,0,0,1,0,0,0,0
GAL-098,   0,0,0,0,0,0,0,0,1,0,0,0,0
GAL-076,   0,0,0,0,0,0,0,0,1,0,0,0,0
GAL-113,   0,0,0,0,0,1,0,0,0,0,0,0,0
GAL-161,   0,0,0,0,0,1,0,0,0,0,0,0,0
GAL-104,   0,0,0,0,0,1,0,0,0,0,0,0,0
GAL-008,   0,0,0,0,0,1,0,0,0,0,0,0,0
GAL-058,   0,0,0,0,0,1,0,0,0,0,0,0,0
GAL-028,   0,0,0,0,0,1,0,0,0,0,0,0,0
GAL-079,   0,0,0,0,0,1,0,0,0,0,0,0,0
GAL-127,   0,0,0,0,0,1,0,0,0,0,0,0,0
GAL-041,   0,0,0,0,0,1,0,0,0,0,0,0,0
GAL-120,   0,0,0,0,0,1,0,0,0,0,0,0,0
GAL-036,   0,0,0,0,0,1,0,0,0,0,0,0,0
GAL-020,   0,0,0,0,0,1,0,0,0,0,0,0,0
GAL-191,   0,0,1,0,0,0,0,0,0,0,0,0,0
GAL-152,   0,0,1,0,0,0,0,0,0,0,0,0,0
GAL-130,   0,0,1,0,0,0,0,0,0,0,0,0,0
