,Central/South-eastern,Far North,Northern,Western
GAL-089,   1,0,0,0
GAL-179,   1,0,0,0
GAL-080,   1,0,0,0
GAL-190,   1,0,0,0
GAL-194,   1,0,0,0
GAL-099,   1,0,0,0
GAL-090,   1,0,0,0
GAL-185,   1,0,0,0
GAL-196,   1,0,0,0
GAL-035,   1,0,0,0
GAL-173,   1,0,0,0
GAL-019,   1,0,0,0
GAL-007,   1,0,0,0
GAL-124,   1,0,0,0
GAL-114,   1,0,0,0
GAL-075,   1,0,0,0
GAL-059,   1,0,0,0
GAL-203,   1,0,0,0
GAL-011,   1,0,0,0
GAL-077,   1,0,0,0
GAL-111,   1,0,0,0
GAL-032,   1,0,0,0
GAL-048,   1,0,0,0
GAL-109,   1,0,0,0
GAL-195,   1,0,0,0
GAL-074,   1,0,0,0
GAL-021,   1,0,0,0
GAL-026,   1,0,0,0
GAL-068,   1,0,0,0
GAL-088,   1,0,0,0
GAL-057,   0,1,0,0
GAL-105,   1,0,0,0
GAL-182,   1,0,0,0
GAL-092,   1,0,0,0
GAL-062,   1,0,0,0
GAL-144,   1,0,0,0
GAL-137,   1,0,0,0
GAL-169,   1,0,0,0
GAL-158,   0,0,1,0
GAL-207,   0,0,1,0
GAL-112,   0,0,1,0
GAL-126,   0,0,1,0
GAL-003,   0,0,1,0
GAL-143,   0,0,1,0
GAL-128,   0,0,1,0
GAL-176,   0,0,1,0
GAL-188,   0,0,1,0
GAL-073,   0,0,1,0
GAL-167,   0,0,1,0
GAL-055,   0,0,1,0
GAL-004,   0,0,1,0
GAL-096,   0,0,1,0
GAL-030,   0,0,1,0
GAL-170,   0,0,1,0
GAL-159,   0,0,1,0
GAL-206,   0,0,1,0
GAL-013,   0,0,1,0
GAL-097,   0,0,1,0
GAL-083,   0,0,1,0
GAL-151,   0,0,1,0
GAL-107,   0,0,1,0
GAL-183,   0,0,1,0
GAL-129,   0,0,1,0
GAL-166,   0,0,1,0
GAL-156,   0,0,1,0
GAL-150,   0,0,1,0
GAL-125,   0,0,1,0
GAL-098,   0,0,1,0
GAL-076,   0,0,1,0
GAL-113,   0,0,0,1
GAL-161,   0,0,0,1
GAL-104,   0,0,0,1
GAL-008,   0,0,0,1
GAL-058,   0,0,0,1
GAL-028,   0,0,0,1
GAL-079,   0,0,0,1
GAL-127,   0,1,0,0
GAL-041,   0,0,0,1
GAL-120,   0,0,0,1
GAL-036,   0,0,0,1
GAL-020,   0,0,0,1
GAL-191,   1,0,0,0
GAL-152,   1,0,0,0
GAL-130,   1,0,0,0
GAL-049,   1,0,0,0
GAL-168,   1,0,0,0
GAL-118,   0,1,0,0
GAL-142,   1,0,0,0
GAL-016,   1,0,0,0
GAL-187,   1,0,0,0
GAL-091,   1,0,0,0
GAL-148,   1,0,0,0
GAL-038,   1,0,0,0
GAL-121,   1,0,0,0
GAL-133,   1,0,0,0
GAL-205,   1,0,0,0
GAL-051,   1,0,0,0
GAL-153,   1,0,0,0
GAL-189,   1,0,0,0
GAL-174,   0,1,0,0
GAL-146,   1,0,0,0
GAL-044,   1,0,0,0
GAL-141,   1,0,0,0
GAL-100,   1,0,0,0
GAL-039,   1,0,0,0
GAL-149,   1,0,0,0
GAL-095,   1,0,0,0
GAL-034,   1,0,0,0
GAL-139,   1,0,0,0
GAL-050,   1,0,0,0
GAL-119,   1,0,0,0
GAL-053,   1,0,0,0
GAL-012,   1,0,0,0
GAL-172,   1,0,0,0
GAL-061,   1,0,0,0
GAL-132,   1,0,0,0
GAL-043,   1,0,0,0
GAL-165,   1,0,0,0
GAL-025,   0,0,0,1
GAL-108,   1,0,0,0
GAL-117,   1,0,0,0
GAL-135,   1,0,0,0
GAL-069,   0,0,0,1
GAL-115,   1,0,0,0
GAL-017,   0,0,0,1
GAL-081,   0,0,0,1
GAL-006,   0,1,0,0
GAL-178,   0,0,0,1
GAL-033,   0,0,0,1
GAL-042,   1,0,0,0
GAL-103,   0,0,0,1
GAL-094,   0,1,0,0
GAL-054,   1,0,0,0
GAL-037,   1,0,0,0
GAL-177,   0,0,0,1
GAL-027,   1,0,0,0
GAL-065,   1,0,0,0
GAL-014,   0,0,0,1
GAL-087,   0,0,0,1
GAL-162,   1,0,0,0
GAL-184,   1,0,0,0
