LG	start	stop	mid	window_start	window_stop	n_windows	mds	mds_num	cluster	cluster_size	merged_region_id	global_region_id
Chr01	53391	577223	62334.733	2	35	20	negative1	-1	1	523832	1	Chr01_1
Chr01	2809256	3128462	2820814.947	228	243	28	positive8	8	1	319206	2	Chr01_2
Chr01	18514166	18913850	18520386.195	1059	1092	15	positive10	10	1	399684	3	Chr01_3
Chr01	21017275	21228190	21029517.378	1226	1242	32	negative5	-5	1	210915	4	Chr01_4
Chr01	27175246	27481453	27181263.515	1523	1539	28	negative2	-2	1	306207	5	Chr01_5
Chr01	35792493	36503981	35804515.916	2052	2070	33	positive5	5	1	711488	6	Chr01_6
Chr01	38680455	39034740	38691748.157	2172	2185	18	positive10	10	2	354285	7	Chr01_7
Chr01	46531746	47571296	46538868.212	2631	2676	33	negative4	-4	2	1039550	8	Chr01_8
Chr01	48002999	49042731	48008283.95	2698	2756	37	negative4	-4	3	1039732	9	Chr01_9
Chr01	50588181	51178586	50594160.043	2839	2861	35	positive2	2	1	590405	10	Chr01_10
Chr01	52346015	52450209	52353775.424	2926	2932	11	negative7	-7	3	104194	11	Chr01_11
Chr01	54307853	54400272	54317392.213	3000	3005	10	positive8	8	4	92419	12	Chr01_12
